symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
CNQ,2023-12-31,f,9.09628,-0.51227,9730,"[55.53,55.35,56.26,64.67,65.52]","[15172143.0000,15213829.0000,15108455.0000,15079253.0000,14929792.0000]","[15172143,15213829,15108455,15079253,14929792]",32.00,978200,14929792.0000,-149461.0000,-0.99
MSFT,2023-12-31,f,5.72305,0.20703,47160,"[239.82,288.30,340.54,315.75,376.04]","[1924164.0000,1922210.0000,1917314.0000,1772995.0000,1636655.0000]","[1924164,1922210,1917314,1772995,1636655]",58.41,615448,1636655.0000,-136340.0000,-7.69
GOOG,2023-12-31,f,4.99092,-0.36173,42522,"[88.73,104.00,120.97,131.85,140.93]","[4130134.0000,4131031.0000,4135450.0000,4120154.0000,3808388.0000]","[4130134,4131031,4135450,4120154,3808388]",57.55,536716,3808388.0000,-311766.0000,-7.57
UHALB,2023-12-31,f,4.84615,1.02221,572,"[54.98,51.85,50.67,52.39,70.44]","[6712255.0000,6797250.0000,6910859.0000,7407767.0000,7398460.0000]","[6712255,6797250,6910859,7407767,7398460]",54.67,521148,7398460.0000,-9307.0000,-0.13
SCHW,2023-12-31,f,4.04103,0.60277,2459,"[83.26,52.38,56.68,54.90,68.80]","[4282948.0000,6297169.0000,6374912.0000,6356113.0000,6316361.0000]","[4282948,6297169,6374912,6356113,6316361]",56.32,434566,6316361.0000,-39752.0000,-0.63
PEP,2023-12-31,f,4.00657,-0.26279,3458,"[180.66,182.30,185.22,169.44,169.84]","[2587661.0000,2561567.0000,2560552.0000,2557247.0000,2536865.0000]","[2587661,2561567,2560552,2557247,2536865]",99.17,430861,2536865.0000,-20382.0000,-0.80
NWSA,2023-12-31,f,3.82153,0.47568,4195,"[18.20,17.27,19.50,20.06,24.55]","[16803181.0000,16915929.0000,16956324.0000,16927806.0000,16739790.0000]","[16803181,16915929,16956324,16927806,16739790]",13.61,410962,16739790.0000,-188016.0000,-1.11
CTSH,2023-12-31,f,3.63376,0.05750,13209,"[57.19,60.93,65.28,67.74,75.53]","[5345736.0000,5355327.0000,5376416.0000,5358073.0000,5173699.0000]","[5345736,5355327,5376416,5358073,5173699]",64.43,390769,5173699.0000,-184374.0000,-3.44
PG,2023-12-31,f,3.43932,-0.38288,19821,"[151.56,148.69,151.74,145.86,146.54]","[2919414.0000,2680646.0000,2674049.0000,2659516.0000,2523944.0000]","[2919414,2680646,2674049,2659516,2523944]",80.52,369859,2523944.0000,-135572.0000,-5.10
RS,2023-12-31,f,3.15133,-0.02807,5098,"[202.44,256.74,271.59,262.23,279.68]","[1255664.0000,1252521.0000,1247471.0000,1230517.0000,1211704.0000]","[1255664,1252521,1247471,1230517,1211704]",155.72,338889,1211704.0000,-18813.0000,-1.53
STT,2023-12-31,f,2.46332,0.16621,4466,"[77.57,75.69,73.18,66.96,77.46]","[3500960.0000,3483074.0000,3493044.0000,3481702.0000,3419857.0000]","[3500960,3483074,3493044,3481702,3419857]",65.19,264902,3419857.0000,-61845.0000,-1.78
PXD,2023-12-31,f,2.32978,-0.55501,36659,"[228.39,204.24,207.18,229.55,224.88]","[724827.0000,1269541.0000,1275395.0000,1275446.0000,1114110.0000]","[724827,1269541,1275395,1275446,1114110]",218.33,250541,1114110.0000,-161336.0000,-12.65
BRKB,2023-12-31,f,2.26847,-0.12450,3296,"[308.90,308.77,341.00,350.30,356.66]","[708557.0000,706405.0000,707390.0000,693304.0000,683980.0000]","[708557,706405,707390,693304,683980]",231.39,243948,683980.0000,-9324.0000,-1.34
INGR,2023-12-31,f,2.23586,0.07979,864,"[97.93,101.73,105.95,98.40,108.53]","[2308131.0000,2264306.0000,2234250.0000,2223789.0000,2215434.0000]","[2308131,2264306,2234250,2223789,2215434]",78.69,240441,2215434.0000,-8355.0000,-0.38
FOX,2023-12-31,f,2.21053,-0.26979,3364,"[28.45,31.31,31.89,28.88,27.65]","[8685412.0000,8736350.0000,8764068.0000,8716364.0000,8597368.0000]","[8685412,8736350,8764068,8716364,8597368]",31.91,237717,8597368.0000,-118996.0000,-1.37
