symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
AAPL,2023-12-31,f,50.19243,0.15271,1818769,"[129.93,164.90,193.97,171.21,192.53]","[895136175.0000,915560382.0000,915560382.0000,915560382.0000,905560000.0000]","[895136175,915560382,915560382,915560382,905560000]",39.59,174347467,905560000.0000,-10000382.0000,-1.09
BAC,2023-12-31,f,10.01161,0.98405,0,"[33.12,28.60,28.69,27.38,33.67]","[1010100606.0000,1032852006.0000,1032852006.0000,1032852006.0000,1032852006.0000]","[1010100606,1032852006,1032852006,1032852006,1032852006]",25.78,34776127,1032852006.0000,0.0000,0.00
AXP,2023-12-31,f,8.17679,0.95627,0,"[147.75,164.95,174.20,149.19,187.34]","[151610700.0000,151610700.0000,151610700.0000,151610700.0000,151610700.0000]","[151610700,151610700,151610700,151610700,151610700]",71.11,28402749,151610700.0000,0.0000,0.00
KO,2023-12-31,f,6.78608,-0.36204,0,"[63.61,62.03,60.22,55.98,58.93]","[400000000.0000,400000000.0000,400000000.0000,400000000.0000,400000000.0000]","[400000000,400000000,400000000,400000000,400000000]",40.28,23572000,400000000.0000,0.0000,0.00
CVX,2023-12-31,f,5.41461,-0.51983,2517618,"[179.49,163.16,157.35,168.62,149.16]","[162975771.0000,132407595.0000,123120120.0000,110248289.0000,126093326.0000]","[162975771,132407595,123120120,110248289,126093326]",132.76,18808081,126093326.0000,15845037.0000,14.37
OXY,2024-02-05,4,4.16449,-0.02492,250869,"[62.99,62.43,58.80,64.88,59.71]","[194351650.0000, 211707119.0000, 224129192.0000, 224129192.0000, 243715804.0000, 248018128.0000]","[194351650, 211707119, 224129192, 224129192, 243715804, 248018128.0000]",50.78,14461937,248018128.0000,4302324.0000,1.77
KHC,2023-12-31,f,3.46673,-0.03019,0,"[40.71,38.67,35.50,33.64,36.98]","[325634818.0000,325634818.0000,325634818.0000,325634818.0000,325634818.0000]","[325634818,325634818,325634818,325634818,325634818]",77.86,12041976,325634818.0000,0.0000,0.00
MCO,2023-12-31,f,2.77380,0.28388,0,"[278.62,306.02,347.72,316.17,390.56]","[24669778.0000,24669778.0000,24669778.0000,24669778.0000,24669778.0000]","[24669778,24669778,24669778,24669778,24669778]",57.13,9635028,24669778.0000,0.0000,0.00
DVA,2024-02-14,da,1.27993,0.19132,0,"[74.67,81.11,100.47,94.53,104.76]","[36095570.0000, 36095570.0000, 36095570.0000, 36095570.0000, 36095570.0000, 36095570.0000]","[36095570, 36095570, 36095570, 36095570, 36095570, 36095570.0000]",60.38,4454554,36095570.0000,0.0000,0.00
C,2023-12-31,f,0.81812,0.09277,0,"[45.23,46.89,46.04,41.13,51.44]","[55155797.0000,55244797.0000,55244797.0000,55244797.0000,55244797.0000]","[55155797,55244797,55244797,55244797,55244797]",56.88,2841792,55244797.0000,0.0000,0.00
VRSN,2023-12-31,f,0.75988,-0.06869,0,"[205.44,211.33,225.97,202.53,205.96]","[12815613.0000,12815613.0000,12815613.0000,12815613.0000,12815613.0000]","[12815613,12815613,12815613,12815613,12815613]",47.11,2639504,12815613.0000,0.0000,0.00
KR,2023-12-31,f,0.65797,-0.05630,0,"[44.58,49.37,47.00,44.75,45.71]","[50000000.0000,50000000.0000,50000000.0000,50000000.0000,50000000.0000]","[50000000,50000000,50000000,50000000,50000000]",32.22,2285500,50000000.0000,0.0000,0.00
V,2023-12-31,f,0.62191,0.01267,0,"[207.76,225.46,237.48,230.01,260.35]","[8297460.0000,8297460.0000,8297460.0000,8297460.0000,8297460.0000]","[8297460,8297460,8297460,8297460,8297460]",50.31,2160244,8297460.0000,0.0000,0.00
MA,2023-12-31,f,0.48951,-0.01434,0,"[347.73,363.41,393.30,395.91,426.51]","[3986648.0000,3986648.0000,3986648.0000,3986648.0000,3986648.0000]","[3986648,3986648,3986648,3986648,3986648]",61.06,1700345,3986648.0000,0.0000,0.00
COF,2023-12-31,f,0.47075,0.08439,0,"[92.96,96.16,109.37,97.05,131.12]","[0.0000,9922000.0000,12471030.0000,12471030.0000,12471030.0000]","[0,9922000,12471030,12471030,12471030]",96.24,1635201,12471030.0000,0.0000,0.00
