symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
AAPL,2023-12-31,f,5.20131,-0.00688,224702,"[129.93,164.90,193.97,171.21,192.53]","[59874884.0000,51723762.0000,52756221.0000,53634713.0000,54870222.0000]","[59874884,51723762,52756221,53634713,54870222]",54.37,10564164,54870222.0000,1235509.0000,2.30
MSFT,2023-12-31,f,4.70962,0.23645,158850,"[239.82,288.30,340.54,315.75,376.04]","[28171603.0000,24006107.0000,24417538.0000,24978283.0000,25437519.0000]","[28171603,24006107,24417538,24978283,25437519]",120.38,9565525,25437519.0000,459236.0000,1.84
AMZN,2023-12-31,f,3.16002,0.17853,123954,"[84.00,103.29,130.36,127.12,151.94]","[50569979.0000,40082749.0000,40677837.0000,41353218.0000,42241587.0000]","[50569979,40082749,40677837,41353218,42241587]",75.35,6418187,42241587.0000,888369.0000,2.15
GOOGL,2023-12-31,f,3.11015,-0.13687,199138,"[88.23,103.73,119.70,130.86,139.69]","[41666589.0000,41792777.0000,42716764.0000,43748814.0000,45220857.0000]","[41666589,41792777,42716764,43748814,45220857]",62.62,6316902,45220857.0000,1472043.0000,3.36
VCIT,2023-12-31,f,2.93015,-0.02861,358587,"[77.51,80.22,79.03,75.98,81.28]","[56111982.0000,59351780.0000,63832208.0000,68659512.0000,73219949.0000]","[56111982,59351780,63832208,68659512,73219949]",85.78,5951317,73219949.0000,4560437.0000,6.64
NVDA,2023-12-31,f,2.18075,0.12077,276388,"[146.14,277.77,423.02,434.99,495.22]","[10036526.0000,9594325.0000,8608630.0000,8349736.0000,8943979.0000]","[10036526,9594325,8608630,8349736,8943979]",157.86,4429237,8943979.0000,594243.0000,7.12
AMD,2023-12-31,f,2.05895,0.43963,75152,"[64.77,98.01,113.91,102.82,147.41]","[25885044.0000,26310362.0000,26969951.0000,27768188.0000,28368826.0000]","[25885044,26310362,26969951,27768188,28368826]",84.72,4181849,28368826.0000,600638.0000,2.16
CRM,2023-12-31,f,1.93314,0.30363,175318,"[132.59,199.78,211.26,202.78,263.14]","[13875409.0000,13512167.0000,13889156.0000,14168476.0000,14921042.0000]","[13875409,13512167,13889156,14168476,14921042]",172.97,3926323,14921042.0000,752566.0000,5.31
ASML,2023-12-31,f,1.85492,0.22827,70775,"[546.40,680.71,724.75,588.66,756.92]","[4723320.0000,4689366.0000,4781667.0000,4872163.0000,4977359.0000]","[4723320,4689366,4781667,4872163,4977359]",300.85,3767463,4977359.0000,105196.0000,2.16
TSM,2023-12-31,f,1.59143,0.08141,42216,"[74.49,93.02,100.92,86.90,104.00]","[24417775.0000,25389619.0000,29557819.0000,30637393.0000,31079682.0000]","[24417775,25389619,29557819,30637393,31079682]",41.50,3232287,31079682.0000,442289.0000,1.44
HD,2023-12-31,f,1.50186,0.02693,63468,"[315.86,295.12,310.64,302.16,346.55]","[8287774.0000,8395471.0000,8538103.0000,8606415.0000,8802085.0000]","[8287774,8395471,8538103,8606415,8802085]",183.16,3050363,8802085.0000,195670.0000,2.27
ADBE,2023-12-31,f,1.33947,0.02544,9062,"[336.53,385.37,488.99,509.90,596.60]","[5070299.0000,4610991.0000,4811178.0000,4543707.0000,4560086.0000]","[5070299,4610991,4811178,4543707,4560086]",333.40,2720547,4560086.0000,16379.0000,0.36
