symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
IVV,2023-12-31,f,5.45118,1.98748,4430023,"[384.21,411.08,445.71,429.43,477.63]","[464449.0000,533991.0000,4301178.0000,2760524.0000,12528397.0000]","[464449,533991,4301178,2760524,12528397]",446.63,5983938,12528397.0000,9767873.0000,353.84
SPY,2023-12-31,f,2.59964,-0.83257,2505613,"[382.43,409.39,443.28,427.48,475.31]","[1153574.0000,750413.0000,3234557.0000,11554645.0000,6003885.0000]","[-13854026,-18500087,-26825643,-6378955,-9416615]",429.48,2853707,6003885.0000,-5550760.0000,-48.04
MSFT,2023-12-31,f,1.77445,0.12926,16585,"[239.82,288.30,340.54,315.75,376.04]","[1002219.0000,1661552.0000,4195577.0000,5227894.0000,5179946.0000]","[-4635381,-6328548,1671977,937094,-123554]",300.59,1947867,5179946.0000,-47948.0000,-0.92
AMZN,2023-12-31,f,1.03434,0.09941,11934,"[84.00,103.29,130.36,127.12,151.94]","[6454753.0000,8842633.0000,7683072.0000,7387363.0000,7472895.0000]","[2961053,332333,-699828,-3804837,-2119705]",117.01,1135432,7472895.0000,85532.0000,1.16
AAPL,2023-12-31,f,1.02291,0.41291,395512,"[129.93,164.90,193.97,171.21,192.53]","[3489785.0000,1265000.0000,1824040.0000,3657524.0000,5832219.0000]","[-272315,-3589900,524440,-3146776,456719]",173.82,1122877,5832219.0000,2174695.0000,59.46
NVDA,2023-12-31,f,0.93061,-0.72932,785721,"[146.14,277.77,423.02,434.99,495.22]","[403124.0000,1747188.0000,2770706.0000,3752162.0000,2062840.0000]","[-1709776,711188,1044406,413762,-1206960]",303.29,1021560,2062840.0000,-1689322.0000,-45.02
GOOGL,2023-12-31,f,0.80961,0.30933,330938,"[88.23,103.73,119.70,130.86,139.69]","[780640.0000,2343046.0000,3313101.0000,3915923.0000,6362239.0000]","[-3482460,-3093654,-2477499,-3756577,-1416861]",117.06,888741,6362239.0000,2446316.0000,62.47
KKR,2023-12-31,f,0.70788,0.43325,335622,"[46.42,52.52,56.00,61.60,82.85]","[235550.0000,326604.0000,1935976.0000,4732644.0000,9379214.0000]","[235550,346604,2017876,4449344,9069214]",64.39,777068,9379214.0000,4646570.0000,98.18
PXD,2023-12-31,f,0.70779,0.36852,434962,"[228.39,204.24,207.18,229.55,224.88]","[86714.0000,110438.0000,798663.0000,1540732.0000,3455007.0000]","[-304386,-148062,614863,1588932,3489307]",220.91,776962,3455007.0000,1914275.0000,124.24
META,2023-12-31,f,0.65563,-0.04884,100649,"[120.34,211.94,286.98,300.21,353.96]","[3591915.0000,2874656.0000,2767363.0000,2341009.0000,2033300.0000]","[1428915,516556,670363,-957891,-738800]",191.99,719707,2033300.0000,-307709.0000,-13.14
GOOG,2023-12-31,f,0.61386,-0.16928,151423,"[88.73,104.00,120.97,131.85,140.93]","[596186.0000,1624839.0000,4564501.0000,5891686.0000,4781462.0000]","[-235214,1276639,1901301,2386186,1582162]",111.89,673851,4781462.0000,-1110224.0000,-18.84
MRK,2023-12-31,f,0.60065,0.25865,278487,"[110.95,106.39,115.39,102.95,109.02]","[1437922.0000,37451.0000,47861.0000,3420470.0000,6047952.0000]","[860522,-59949,-14539,3121070,6113952]",107.61,659348,6047952.0000,2627482.0000,76.82
DIA,2023-12-31,f,0.52050,0.24831,496854,"[331.33,332.62,343.85,334.95,376.87]","[9595.0000,7905.0000,83577.0000,120080.0000,1516091.0000]","[342095,500105,-48123,534380,1250491]",354.41,571369,1516091.0000,1396011.0000,1162.57
WDC,2023-12-31,f,0.50014,0.20870,191939,"[31.55,37.67,37.93,45.63,52.37]","[3107828.0000,8100440.0000,6608943.0000,6566399.0000,10483521.0000]","[3970128,9474140,6729043,6007699,9838921]",42.49,549022,10483521.0000,3917122.0000,59.65
MU,2023-12-31,f,0.48886,0.13564,78000,"[49.98,60.34,63.11,68.03,85.34]","[1829406.0000,273657.0000,1935863.0000,5271165.0000,6288244.0000]","[255306,-1292943,847863,2648565,4015844]",66.36,536639,6288244.0000,1017079.0000,19.30
CRH,2023-12-31,f,0.47109,0.01407,54872,"[39.79,50.87,55.73,54.73,69.16]","[107481.0000,151908.0000,820933.0000,8363011.0000,7477265.0000]","[107481,151908,820933,8363011,7477265]",54.78,517128,7477265.0000,-885746.0000,-10.59
ORCL,2023-12-31,f,0.45282,0.25244,288487,"[81.74,92.92,119.09,105.92,105.43]","[143859.0000,2203789.0000,1019989.0000,1984892.0000,4714712.0000]","[292259,2110089,1174189,1432292,4296812]",102.96,497072,4714712.0000,2729820.0000,137.53
