symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
SPY,2023-12-31,f,2.64310,1.52441,1401604,"[382.43,409.39,443.28,427.48,475.31]","[170305.0000,304378.0000,1498610.0000,2419961.0000,5524977.0000]","[-4832395,-41697722,-63982690,-56293539,-33074823]",441.19,2626077,5524977.0000,3105016.0000,128.31
NVDA,2023-12-31,f,1.81081,0.84465,734480,"[146.14,277.77,423.02,434.99,495.22]","[1905167.0000,2956580.0000,1315545.0000,2053872.0000,3633025.0000]","[2169467,2014580,1421345,591272,424825]",348.66,1799147,3633025.0000,1579153.0000,76.89
MSFT,2023-12-31,f,1.60504,-0.11525,275645,"[239.82,288.30,340.54,315.75,376.04]","[1404012.0000,1365111.0000,3406134.0000,5037676.0000,4240784.0000]","[9083512,2791611,2704534,6767476,2736384]",306.95,1594704,4240784.0000,-796892.0000,-15.82
AMZN,2023-12-31,f,0.95203,0.69031,602976,"[84.00,103.29,130.36,127.12,151.94]","[547668.0000,1428634.0000,5105216.0000,1903979.0000,6225456.0000]","[21755268,11297934,13831916,10954979,11258456]",131.91,945896,6225456.0000,4321477.0000,226.97
AMD,2023-12-31,f,0.89106,0.61322,438781,"[64.77,98.01,113.91,102.82,147.41]","[6558274.0000,1043553.0000,1964986.0000,2498982.0000,6005863.0000]","[-1712482,-2390031,-520862,2307786,3428199]",111.02,885324,6005863.0000,3506881.0000,140.33
META,2023-12-31,f,0.87465,0.52389,449646,"[120.34,211.94,286.98,300.21,353.96]","[8039075.0000,3887400.0000,2338869.0000,1080436.0000,2455121.0000]","[17126175,11159900,8282969,8333136,9033421]",249.64,869015,2455121.0000,1374685.0000,127.23
T,2023-12-31,f,0.85739,0.51217,469253,"[18.41,19.25,15.95,15.02,16.78]","[5766403.0000,32829087.0000,7532065.0000,21254029.0000,50766789.0000]","[7779203,35838987,8340665,23787029,52166989]",16.37,851867,50766789.0000,29512760.0000,138.86
JPM,2023-12-31,f,0.77860,-0.02700,92742,"[134.10,130.31,145.44,145.02,170.10]","[3281230.0000,5348707.0000,4563841.0000,5136437.0000,4547825.0000]","[5277830,5790507,5723741,5619337,3227025]",122.51,773585,4547825.0000,-588612.0000,-11.46
LLY,2023-12-31,f,0.74865,0.30730,289109,"[365.84,343.42,468.98,537.13,582.92]","[176714.0000,250021.0000,546122.0000,759793.0000,1276032.0000]","[-120086,493021,497422,546693,994332]",467.28,743825,1276032.0000,516239.0000,67.94
MRK,2023-12-31,f,0.69327,-0.05016,38044,"[110.95,106.39,115.39,102.95,109.02]","[2486668.0000,771144.0000,1839871.0000,6677107.0000,6318171.0000]","[1789468,838444,2458271,7848507,7709271]",106.48,688807,6318171.0000,-358936.0000,-5.38
HUM,2023-12-31,f,0.69261,-0.14397,40972,"[512.19,485.46,447.13,486.52,457.81]","[43945.0000,1017699.0000,234494.0000,1589916.0000,1503142.0000]","[-111055,867199,201494,1569016,1215842]",471.12,688153,1503142.0000,-86774.0000,-5.46
SBAC,2023-12-31,f,0.67737,0.39335,304261,"[280.31,261.07,231.76,200.17,253.69]","[114150.0000,308901.0000,470177.0000,1312094.0000,2652866.0000]","[128150,373801,526777,1311494,2646566]",231.22,673006,2652866.0000,1340772.0000,102.19
ISRG,2023-12-31,f,0.65588,0.07374,28357,"[265.35,255.47,341.94,292.29,337.36]","[1686489.0000,498145.0000,1941441.0000,1841557.0000,1931629.0000]","[2157189,574545,1962341,1815457,1959529]",286.57,651654,1931629.0000,90072.0000,4.89
DIS,2023-12-31,f,0.63533,0.57832,543177,"[86.88,100.13,89.28,81.05,90.29]","[2772693.0000,229838.0000,82829.0000,650930.0000,6991274.0000]","[2000793,795038,-37371,-1836370,-31126]",85.71,631242,6991274.0000,6340344.0000,974.04
MU,2023-12-31,f,0.60796,0.01131,79093,"[49.98,60.34,63.11,68.03,85.34]","[57782.0000,3105581.0000,6728694.0000,8109461.0000,7078122.0000]","[-1119818,1446881,5164794,7981561,6396222]",59.97,604047,7078122.0000,-1031339.0000,-12.72
SNOW,2023-12-31,f,0.54236,0.42303,349217,"[143.54,154.29,175.98,152.77,199.00]","[497845.0000,111115.0000,838521.0000,722447.0000,2707873.0000]","[1189045,489215,824021,1850947,3444073]",173.81,538867,2707873.0000,1985426.0000,274.82
MCD,2023-12-31,f,0.53610,0.44760,415958,"[263.53,279.61,298.41,263.44,296.51]","[170636.0000,1638248.0000,2603994.0000,310732.0000,1796401.0000]","[-188764,1609248,2843994,546232,2127201]",279.36,532651,1796401.0000,1485669.0000,478.12
BSX,2023-12-31,f,0.52259,-0.68555,673382,"[46.27,50.03,54.09,52.80,57.81]","[6534311.0000,15012147.0000,15456348.0000,21156222.0000,8981534.0000]","[6929011,15079347,15492648,20904722,9131834]",47.63,519222,8981534.0000,-12174688.0000,-57.55
CI,2023-12-31,f,0.46572,0.39611,386489,"[331.34,255.53,280.60,286.07,299.45]","[974487.0000,2036562.0000,1972371.0000,225068.0000,1545226.0000]","[969487,1982662,1653271,-101932,1357226]",291.59,462718,1545226.0000,1320158.0000,586.56
SPGI,2023-12-31,f,0.46286,0.44269,400076,"[334.94,344.77,400.89,365.41,440.52]","[350437.0000,685029.0000,31258.0000,51118.0000,1043937.0000]","[481937,895429,67858,85818,1169337]",400.49,459875,1043937.0000,992819.0000,1942.21
CRM,2023-12-31,f,0.45484,0.12164,46128,"[132.59,199.78,211.26,202.78,263.14]","[1814553.0000,286335.0000,1136229.0000,1519372.0000,1717379.0000]","[1653875,641035,881729,1761072,2198879]",203.30,451911,1717379.0000,198007.0000,13.03
CVX,2023-12-31,f,0.45000,0.18703,247129,"[179.49,163.16,157.35,168.62,149.16]","[67601.0000,772737.0000,1963903.0000,1442104.0000,2997449.0000]","[197615,2094737,3728403,3600732,2760911]",161.14,447099,2997449.0000,1555345.0000,107.85
DT,2023-12-31,f,0.43777,0.43742,402911,"[38.30,42.30,51.47,46.73,54.69]","[6412702.0000,2490522.0000,4001549.0000,7536.0000,7952929.0000]","[6521402,2487622,4009849,39736,7893429]",50.70,434946,7952929.0000,7945393.0000,105432.50
C,2023-12-31,f,0.42191,0.41097,365813,"[45.23,46.89,46.04,41.13,51.44]","[4157678.0000,6612543.0000,794365.0000,246535.0000,8149169.0000]","[7777178,7144443,204265,3856335,6014769]",46.32,419193,8149169.0000,7902634.0000,3205.48
TFC,2023-12-31,f,0.40462,0.16956,107865,"[43.03,34.10,30.35,28.61,36.92]","[1675770.0000,10513014.0000,10654780.0000,7597280.0000,10888848.0000]","[1541570,11358014,11063780,7781480,11416648]",37.31,402016,10888848.0000,3291568.0000,43.33
AAPL,2023-12-31,f,0.40365,-0.37403,384971,"[129.93,164.90,193.97,171.21,192.53]","[6157621.0000,1038359.0000,818538.0000,4199769.0000,2083033.0000]","[11372021,6300459,5994838,8378369,3633333]",173.54,401046,2083033.0000,-2116736.0000,-50.40
RBLX,2023-12-31,f,0.39643,0.31145,220345,"[28.46,44.98,40.30,28.96,45.72]","[2803496.0000,2109852.0000,474974.0000,2714039.0000,8615078.0000]","[1041196,4231952,1570474,4451139,11883278]",36.57,393881,8615078.0000,5901039.0000,217.43
LOW,2023-12-31,f,0.36861,0.34823,334607,"[199.24,199.97,225.70,207.84,222.55]","[1945160.0000,1151632.0000,38300.0000,90775.0000,1645639.0000]","[2229260,1202632,353100,-160525,1398439]",214.51,366237,1645639.0000,1554864.0000,1712.88
HYG,2023-12-31,f,0.36374,0.28047,273911,"[73.63,75.55,75.07,73.72,77.39]","[82148.0000,204000.0000,0.0000,1044746.0000,4669819.0000]","[-20888752,-38218100,-19445400,-25194154,-26350881]",75.30,361397,4669819.0000,3625073.0000,346.98
