symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
NVO,2023-12-31,f,2.21751,-0.29907,231350,"[67.67,79.57,80.92,90.94,103.45]","[25208576.0000,21604576.0000,18741976.0000,16229476.0000,13849335.0000]","[25208576,21604576,18741976,16229476,13849335]",26.34,1432714,13849335.0000,-2380141.0000,-14.67
UBER,2023-12-31,f,1.32084,0.72061,333745,"[24.73,31.70,43.17,45.99,61.57]","[2957100.0000,4623400.0000,10390900.0000,7654600.0000,13860349.0000]","[2957100,4623400,10390900,7654600,13860349]",42.30,853382,13860349.0000,6205749.0000,81.07
NVDA,2023-12-31,f,1.18788,0.29096,158363,"[146.14,277.77,423.02,434.99,495.22]","[0.0000,3192.0000,1855904.0000,1209287.0000,1549772.0000]","[0,3192,1855904,1209287,1549772]",375.41,767478,1549772.0000,340485.0000,28.16
PLTR,2023-12-31,f,1.15845,-0.03116,219,"[6.42,8.45,15.33,16.00,17.17]","[43000160.0000,40613757.0000,39799157.0000,43604653.0000,43591426.0000]","[43000160,40613757,39799157,43604653,43591426]",14.15,748465,43591426.0000,-13227.0000,-0.03
META,2023-12-31,f,1.15157,1.10168,655637,"[120.34,211.94,286.98,300.21,353.96]","[1987280.0000,1908583.0000,4532030.0000,97533.0000,2101986.0000]","[1987280,1908583,4532030,97533,2101986]",322.11,744019,2101986.0000,2004453.0000,2055.15
AMZN,2023-12-31,f,1.01039,1.01043,599486,"[84.00,103.29,130.36,127.12,151.94]","[11347000.0000,9000941.0000,1925.0000,0.0000,4296466.0000]","[11347000,9000941,1925,0,4296466]",139.53,652805,4296466.0000,4296466.0000,
VRTX,2023-12-31,f,1.00240,0.01572,27318,"[288.78,315.07,351.91,347.74,406.89]","[2246752.0000,1397735.0000,1272161.0000,1664088.0000,1591688.0000]","[2246752,1397735,1272161,1664088,1591688]",233.13,647642,1591688.0000,-72400.0000,-4.35
TSLA,2023-12-31,f,0.98263,0.67692,458411,"[123.18,207.46,261.77,250.22,248.48]","[3405017.0000,4025051.0000,2091807.0000,716596.0000,2555019.0000]","[3405017,4025051,2091807,716596,2555019]",231.45,634871,2555019.0000,1838423.0000,256.55
VRSN,2023-12-31,f,0.97083,-0.09780,10008,"[205.44,211.33,225.97,202.53,205.96]","[3085390.0000,3183090.0000,3056590.0000,3094490.0000,3045490.0000]","[3085390,3183090,3056590,3094490,3045490]",96.19,627249,3045490.0000,-49000.0000,-1.58
ABNB,2023-12-31,f,0.90518,-0.14838,28355,"[85.50,124.40,128.16,137.21,136.14]","[8602746.0000,6054556.0000,5294527.0000,4503256.0000,4295800.0000]","[8602746,6054556,5294527,4503256,4295800]",131.78,584830,4295800.0000,-207456.0000,-4.61
