symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
AMZN,2023-12-31,f,2.14858,0.32584,64488,"[84.00,103.29,130.36,127.12,151.94]","[5049647.0000,4032212.0000,3037918.0000,4208999.0000,4671178.0000]","[5249647,4332212,3192918,4528299,4671178]",122.03,709739,4671178.0000,462179.0000,10.98
META,2023-12-31,f,1.06205,-0.33189,121628,"[120.34,211.94,286.98,300.21,353.96]","[4650134.0000,2469973.0000,837427.0000,1363000.0000,991150.0000]","[4650134,2469973,837427,1363000,991150]",206.60,350827,991150.0000,-371850.0000,-27.28
DELL,2023-12-31,f,0.93682,0.14475,48758,"[40.22,40.21,54.11,68.90,76.50]","[4508189.0000,3563213.0000,4358244.0000,3374523.0000,4045200.0000]","[4508189,3563213,4508244,3524523,4045200]",46.44,309458,4045200.0000,670677.0000,19.87
UNP,2023-12-31,f,0.88051,0.30238,78800,"[207.07,201.26,204.62,203.63,245.62]","[269699.0000,0.0000,844316.0000,833378.0000,1184177.0000]","[269699,0,844316,833378,1184177]",209.37,290858,1184177.0000,350799.0000,42.09
NVDA,2023-12-31,f,0.83490,-1.60378,506422,"[146.14,277.77,423.02,434.99,495.22]","[0.0000,980638.0000,1643023.0000,1645732.0000,556911.0000]","[0,980638,1705523,1840732,552711]",268.04,275793,556911.0000,-1088821.0000,-66.16
BSX,2023-12-31,f,0.82443,-0.33064,94630,"[46.27,50.03,54.09,52.80,57.81]","[197869.0000,1781700.0000,3490699.0000,6421754.0000,4710845.0000]","[178069,1781700,3470999,6202854,4491945]",51.44,272334,4710845.0000,-1710909.0000,-26.64
SPY,2023-12-31,f,0.81141,0.79682,250037,"[382.43,409.39,443.28,427.48,475.31]","[44000.0000,20201.0000,20000.0000,10000.0000,563914.0000]","[-514600,-2599299,-1901400,-1336800,-5020086]",450.82,268034,563914.0000,553914.0000,5539.14
FDX,2023-12-31,f,0.79880,0.21521,102658,"[173.20,228.49,247.90,264.92,252.97]","[575062.0000,695530.0000,744751.0000,646636.0000,1043076.0000]","[575062,695530,1383651,646636,1093076]",232.37,263867,1043076.0000,396440.0000,61.31
CSX,2023-12-31,f,0.74040,0.19505,60466,"[30.98,29.94,34.10,30.75,34.67]","[4994715.0000,5593690.0000,4540003.0000,5205858.0000,7054398.0000]","[4994715,5578390,4494703,5193558,7042098]",30.78,244576,7054398.0000,1848540.0000,35.51
JCI,2023-12-31,f,0.73848,0.48250,156321,"[64.00,60.22,68.14,53.21,57.64]","[0.0000,706593.0000,438472.0000,1412038.0000,4232191.0000]","[0,706593,438472,1412038,4847191]",57.33,243943,4232191.0000,2820153.0000,199.72
