symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
IVV,2023-12-31,f,5.67425,0.36750,35222,"[384.21,411.08,445.71,429.43,477.63]","[2064472.0000,1828724.0000,2013408.0000,2044552.0000,2122214.0000]","[2064472,1828724,2013408,2044552,2122214]",395.35,1013633,2122214.0000,77662.0000,3.80
IEMG,2023-12-31,f,5.29268,-0.22560,24151,"[46.70,48.79,49.29,47.59,50.58]","[14553204.0000,17862641.0000,17932948.0000,19184515.0000,18692550.0000]","[14553204,17862641,17932948,19184515,18692550]",56.79,945469,18692550.0000,-491965.0000,-2.56
PG,2023-12-31,f,3.80918,-0.42325,23000,"[151.56,148.69,151.74,145.86,146.54]","[4995627.0000,4944905.0000,4616315.0000,4800842.0000,4643522.0000]","[4995627,4944905,4616315,4800842,4643522]",142.11,680462,4643522.0000,-157320.0000,-3.28
KO,2023-12-31,f,2.64019,-0.40366,57045,"[63.61,62.03,60.22,55.98,58.93]","[8421382.0000,8145223.0000,8214890.0000,8996115.0000,8003344.0000]","[8421382,8145223,8214890,8996115,8003344]",54.79,471637,8003344.0000,-992771.0000,-11.04
COST,2023-12-31,f,2.54064,-0.28737,86128,"[456.50,496.87,538.38,564.96,660.08]","[937521.0000,861306.0000,807709.0000,828184.0000,687572.0000]","[937521,861306,807709,828184,687572]",421.67,453853,687572.0000,-140612.0000,-16.98
JNJ,2023-12-31,f,2.43457,-0.13009,7864,"[176.65,155.00,165.52,155.75,156.74]","[3567888.0000,3587451.0000,3181428.0000,2724355.0000,2774687.0000]","[3567888,3587451,3181428,2724355,2774687]",162.79,434904,2774687.0000,50332.0000,1.85
PEP,2023-12-31,f,2.32160,-0.42324,40432,"[180.66,182.30,185.22,169.44,169.84]","[3020578.0000,2807523.0000,2566566.0000,2680191.0000,2441850.0000]","[3020578,2807523,2566566,2680191,2441850]",153.24,414724,2441850.0000,-238341.0000,-8.89
MCD,2023-12-31,f,2.25019,-0.10958,35374,"[263.53,279.61,298.41,263.44,296.51]","[1579019.0000,1538377.0000,1418992.0000,1482008.0000,1355664.0000]","[1579019,1538377,1418992,1482008,1355664]",234.40,401968,1355664.0000,-126344.0000,-8.53
WMT,2023-12-31,f,2.24493,-0.35741,23557,"[141.79,147.45,157.18,159.93,157.65]","[3400013.0000,2670104.0000,2562936.0000,2692144.0000,2543789.0000]","[3400013,2670104,2562936,2692144,2543789]",140.44,401028,2543789.0000,-148355.0000,-5.51
SPY,2023-12-31,f,2.19047,-0.38289,77968,"[382.43,409.39,443.28,427.48,475.31]","[1373994.0000,1233117.0000,1035782.0000,995975.0000,823251.0000]","[1373994,1233117,1035782,995975,823251]",207.55,391299,823251.0000,-172724.0000,-17.34
PDD,2023-12-31,f,1.99570,0.38997,33268,"[81.55,75.90,69.14,98.07,146.31]","[3645830.0000,2142397.0000,2731512.0000,2708921.0000,2436655.0000]","[3645830,2142397,2731512,2708921,2436655]",70.12,356507,2436655.0000,-272266.0000,-10.05
GOOGL,2023-12-31,f,1.59870,0.34985,62974,"[88.23,103.73,119.70,130.86,139.69]","[743738.0000,2308292.0000,1959948.0000,1578932.0000,2044437.0000]","[743738,2308292,1959948,1578932,2044437]",110.21,285587,2044437.0000,465505.0000,29.48
V,2023-12-31,f,1.58235,0.40283,58178,"[207.76,225.46,237.48,230.01,260.35]","[838784.0000,990819.0000,1017593.0000,848432.0000,1085719.0000]","[838784,990819,1017593,848432,1085719]",212.66,282667,1085719.0000,237287.0000,27.97
CVS,2023-12-31,f,1.35009,0.13045,12224,"[93.19,74.31,69.13,69.82,78.96]","[2739949.0000,2473770.0000,2686418.0000,2890081.0000,3054404.0000]","[2739949,2473770,2686418,2890081,3054404]",86.97,241176,3054404.0000,164323.0000,5.69
META,2023-12-31,f,1.31976,0.19088,14368,"[120.34,211.94,286.98,300.21,353.96]","[536148.0000,1001817.0000,537637.0000,622131.0000,666059.0000]","[536148,1001817,537637,622131,666059]",199.14,235758,666059.0000,43928.0000,7.06
SBUX,2023-12-31,f,1.30014,-0.09546,10376,"[99.20,104.13,99.06,91.27,96.01]","[2611901.0000,2487901.0000,2716959.0000,2529869.0000,2419064.0000]","[2611901,2487901,2716959,2529869,2419064]",101.35,232254,2419064.0000,-110805.0000,-4.38
VWO,2023-12-31,f,1.23597,-0.17929,24085,"[38.98,40.40,40.68,39.21,41.10]","[13828541.0000,8471104.0000,7848503.0000,5971774.0000,5372037.0000]","[13828541,8471104,7848503,5971774,5372037]",46.90,220791,5372037.0000,-599737.0000,-10.04
MRK,2023-12-31,f,1.19437,0.18430,35381,"[110.95,106.39,115.39,102.95,109.02]","[933765.0000,912984.0000,1360944.0000,1623248.0000,1957062.0000]","[933765,912984,1360944,1623248,1957062]",96.39,213359,1957062.0000,333814.0000,20.56
ABT,2023-12-31,f,1.16900,-0.04535,18338,"[109.79,101.26,109.02,96.85,110.07]","[2220791.0000,2158702.0000,1822986.0000,2074463.0000,1897219.0000]","[2220791,2158702,1822986,2074463,1897219]",115.17,208827,1897219.0000,-177244.0000,-8.54
LLY,2023-12-31,f,1.03633,0.83512,143154,"[365.84,343.42,468.98,537.13,582.92]","[230738.0000,259266.0000,113885.0000,61967.0000,317586.0000]","[230738,259266,113885,61967,317586]",506.84,185127,317586.0000,255619.0000,412.51
MDLZ,2023-12-31,f,0.98336,-0.04758,2301,"[66.65,69.72,72.94,69.40,72.43]","[2886197.0000,2234091.0000,2406249.0000,2457757.0000,2425314.0000]","[2886197,2234091,2406249,2457757,2425314]",61.14,175665,2425314.0000,-32443.0000,-1.32
