symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
COIN,2023-12-31,f,8.97002,2.79728,263009,"[35.39,67.57,71.55,75.08,173.92]","[9189273.0000,11776015.0000,12121881.0000,10603564.0000,8599683.0000]","[9189273,11776015,12121881,10603564,8599683]",156.07,1495657,8599683.0000,-2003881.0000,-18.90
PATH,2023-12-31,f,6.47603,0.19753,80892,"[12.71,17.56,16.57,17.11,24.84]","[44054842.0000,44891966.0000,48280787.0000,47326276.0000,43470597.0000]","[44054842,44891966,48280787,47326276,43470597]",42.61,1079810,43470597.0000,-3855679.0000,-8.15
TSLA,2023-12-31,f,5.66662,-2.24641,68854,"[123.18,207.46,261.77,250.22,248.48]","[4625472.0000,5439635.0000,4843621.0000,4078651.0000,3802519.0000]","[4625472,5439635,4843621,4078651,3802519]",120.94,944850,3802519.0000,-276132.0000,-6.77
SQ,2023-12-31,f,5.51464,1.77847,60841,"[62.84,68.65,66.57,44.26,77.35]","[9003301.0000,10470931.0000,10726935.0000,10887114.0000,11887628.0000]","[9003301,10470931,10726935,10887114,11887628]",117.24,919508,11887628.0000,1000514.0000,9.19
ROKU,2023-12-31,f,5.23820,-0.47578,73905,"[40.70,65.82,63.96,70.59,91.66]","[12114981.0000,12483431.0000,11958292.0000,10439813.0000,9528872.0000]","[12114981,12483431,11958292,10439813,9528872]",145.26,873416,9528872.0000,-910941.0000,-8.73
ZM,2023-12-31,f,4.72871,-0.79335,55443,"[67.74,73.84,67.88,69.94,71.91]","[10615891.0000,10867033.0000,10462306.0000,10182913.0000,10964576.0000]","[10615891,10867033,10462306,10182913,10964576]",220.60,788463,10964576.0000,781663.0000,7.68
RBLX,2023-12-31,f,3.26467,0.57601,2528,"[28.46,44.98,40.30,28.96,45.72]","[8464810.0000,9026480.0000,9318548.0000,11973881.0000,11906173.0000]","[8464810,9026480,9318548,11973881,11906173]",55.76,544350,11906173.0000,-67708.0000,-0.57
TWLO,2023-12-31,f,3.24438,0.00775,123,"[48.96,66.63,63.62,58.53,75.87]","[7409945.0000,6250001.0000,7038184.0000,7132012.0000,7130187.0000]","[7409945,6250001,7038184,7132012,7130187]",201.37,540967,7130187.0000,-1825.0000,-0.03
CRSP,2023-12-31,f,3.20476,0.68380,74141,"[40.65,45.23,56.14,45.39,62.60]","[7829932.0000,7990188.0000,7338447.0000,7163118.0000,8536104.0000]","[7829932,7990188,7338447,7163118,8536104]",68.74,534360,8536104.0000,1372986.0000,19.17
U,2023-12-31,f,2.98933,0.19595,25753,"[28.59,32.44,43.42,31.39,40.89]","[10972313.0000,12307660.0000,11935740.0000,11477199.0000,12189778.0000]","[10972313,12307660,11935740,11477199,12189778]",86.15,498440,12189778.0000,712579.0000,6.21
SHOP,2023-12-31,f,2.80808,-0.13474,62574,"[34.71,47.94,64.60,54.57,77.90]","[13279103.0000,13985791.0000,8874796.0000,6955150.0000,6010496.0000]","[13279103,13985791,8874796,6955150,6010496]",36.14,468218,6010496.0000,-944654.0000,-13.58
TDOC,2023-12-31,f,2.74313,-0.18460,18318,"[23.65,25.90,25.32,18.59,21.55]","[18928440.0000,20584180.0000,20344101.0000,20311873.0000,21224565.0000]","[18928440,20584180,20344101,20311873,21224565]",154.10,457389,21224565.0000,912692.0000,4.49
EXAS,2023-12-31,f,2.67671,-0.64560,17636,"[49.51,67.81,93.90,68.22,73.98]","[16040490.0000,11379187.0000,7155098.0000,6280931.0000,6032893.0000]","[16040490,11379187,7155098,6280931,6032893]",100.94,446313,6032893.0000,-248038.0000,-3.95
HOOD,2023-12-31,f,2.66935,0.17185,23703,"[8.14,9.71,9.98,9.81,12.74]","[29245424.0000,31734313.0000,31919788.0000,32834879.0000,34936204.0000]","[29245424,31734313,31919788,32834879,34936204]",25.16,445087,34936204.0000,2101325.0000,6.40
DKNG,2023-12-31,f,2.60396,-0.73509,74748,"[11.39,19.36,26.57,29.44,35.25]","[25032084.0000,23931255.0000,18060463.0000,14627852.0000,12317235.0000]","[25032084,23931255,18060463,14627852,12317235]",46.01,434183,12317235.0000,-2310617.0000,-15.80
NTLA,2023-12-31,f,2.08688,-0.35221,45466,"[34.89,37.27,40.78,31.62,30.49]","[9420782.0000,9837166.0000,9525931.0000,9948629.0000,11412449.0000]","[9420782,9837166,9525931,9948629,11412449]",41.48,347966,11412449.0000,1463820.0000,14.71
PACB,2023-12-31,f,2.03003,0.09925,42511,"[8.18,11.58,13.30,8.35,9.81]","[25691681.0000,27753679.0000,26634620.0000,29822440.0000,34504273.0000]","[25691681,27753679,26634620,29822440,34504273]",12.34,338487,34504273.0000,4681833.0000,15.70
DNA,2023-12-31,f,2.01299,-0.54390,28725,"[1.69,1.33,1.86,1.81,1.69]","[144384067.0000,164756985.0000,169749527.0000,182192185.0000,198606619.0000]","[144384067,164756985,169749527,182192185,198606619]",4.59,335645,198606619.0000,16414434.0000,9.01
TWST,2023-12-31,f,1.59459,0.52860,12203,"[23.81,15.08,20.46,20.26,36.86]","[6700855.0000,7179112.0000,6959240.0000,6785983.0000,7213257.0000]","[6700855,7179112,6959240,6785983,7213257]",60.72,265881,7213257.0000,427274.0000,6.30
PD,2023-12-31,f,1.58463,-0.25587,19599,"[26.56,34.98,22.48,22.49,23.15]","[10097244.0000,9830009.0000,10379689.0000,10554585.0000,11413423.0000]","[10097244,9830009,10379689,10554585,11413423]",27.69,264221,11413423.0000,858838.0000,8.14
BEAM,2023-12-31,f,1.53354,-0.10443,15640,"[39.11,30.62,31.93,24.05,27.22]","[8213131.0000,8573429.0000,8382595.0000,8783891.0000,9393889.0000]","[8213131,8573429,8382595,8783891,9393889]",74.44,255702,9393889.0000,609998.0000,6.94
TXG,2023-12-31,f,1.35631,0.39890,50935,"[36.44,55.79,55.84,41.25,55.96]","[4316567.0000,4155323.0000,3113549.0000,2993460.0000,4041287.0000]","[4316567,4155323,3113549,2993460,4041287]",102.59,226150,4041287.0000,1047827.0000,35.00
RXRX,2024-01-31,ga,1.30125,0.07988,22789,"[7.71,6.67,7.47,7.65,9.86]","[3099490.0000, 3576862.0000, 4738517.0000, 6876598.0000, 20654287.0000, 23076052.0000]","[3099490, 3576862, 4738517, 6876598, 20654287, 23076052.0000]",10.84,217146,23076052.0000,2421765.0000,11.73
VCYT,2023-12-31,f,1.26308,-0.05166,1545,"[23.73,22.30,25.47,22.33,27.51]","[8300241.0000,8409106.0000,7828292.0000,7593592.0000,7655603.0000]","[8300241,8409106,7828292,7593592,7655603]",28.00,210606,7655603.0000,62011.0000,0.82
PLTR,2023-12-31,f,1.12633,-0.04275,25121,"[6.42,8.45,15.33,16.00,17.17]","[29.0000,0.0000,6842989.0000,9423627.0000,10937859.0000]","[29,0,6842989,9423627,10937859]",13.44,187803,10937859.0000,1514232.0000,16.07
TER,2023-12-31,f,0.97655,-0.13173,8111,"[87.35,107.51,111.33,100.46,108.52]","[555038.0000,608429.0000,1172220.0000,1422834.0000,1500456.0000]","[555038,608429,1172220,1422834,1500456]",107.48,162829,1500456.0000,77622.0000,5.46
TTD,2023-12-31,f,0.92773,0.82453,148568,"[44.83,60.91,77.22,78.15,71.96]","[0.0000,0.0000,87874.0000,170335.0000,2149654.0000]","[0,0,87874,170335,2149654]",74.92,154689,2149654.0000,1979319.0000,1162.02
