symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
IEP,2023-12-31,f,57.94231,0.50057,315454,"[50.65,51.71,29.03,19.78,17.19]","[299997624.0000,299997624.0000,334494577.0000,350819104.0000,367879902.0000]","[299997624,299997624,334494577,350819104,367879902]",57.02,6323856,367879902.0000,17060798.0000,4.86
CVI,2023-12-31,f,18.51538,-0.27157,0,"[31.34,32.78,29.96,34.03,30.30]","[71198718.0000,71198718.0000,71198718.0000,66692381.0000,66692381.0000]","[71198718,71198718,71198718,66692381,66692381]",49.52,2020779,66692381.0000,0.0000,0.00
SWX,2023-12-31,f,6.39801,0.88598,0,"[61.88,62.45,63.65,60.41,63.35]","[6611630.0000,10520600.0000,10844681.0000,11022604.0000,11022604.0000]","[6611630,10520600,10844681,11022604,11022604]",69.95,698282,11022604.0000,0.0000,0.00
BHC,2024-02-05,da,2.47385,-0.07757,0,"[6.28,8.10,8.00,8.22,8.02]","[34721118.0000, 34721118.0000, 34721118.0000, 34721118.0000, 34721118.0000, 34721118.0000]","[34721118, 34721118, 34721118, 34721118, 34721118, 34721118.0000]",25.12,269783,34721118.0000,0.0000,0.00
FE,2023-12-31,f,1.97749,-2.00932,290572,"[41.94,40.06,38.88,34.18,36.66]","[18967757.0000,18967757.0000,14090778.0000,14090778.0000,5887171.0000]","[18967757,18967757,14090778,14090778,5887171]",32.65,215824,5887171.0000,-8203607.0000,-58.22
DAN,2024-02-05,da,1.76972,-0.14273,0,"[15.13,15.05,17.00,14.67,14.61]","[14286505.0000, 14286505.0000, 14286505.0000, 14286505.0000, 14286505.0000, 14286505.0000]","[14286505, 14286505, 14286505, 14286505, 14286505, 14286505.0000]",20.42,192868,14286505.0000,0.0000,0.00
CNDT,2023-12-31,f,1.27583,0.17686,0,"[4.05,3.43,3.40,3.48,3.65]","[38149336.0000,38149336.0000,38149336.0000,38149336.0000,38149336.0000]","[38149336,38149336,38149336,38149336,38149336]",13.21,139245,38149336.0000,0.0000,0.00
JBLU,2024-02-01,d,0.89818,0.89818,98917,"[6.48,7.28,8.86,4.60,5.55]","[0,0,0,0,0,17727029.0000]","[0,0,0,0,0,17727029.0000]",5.58,98917,17727029.0000,17727029.0000,
AEP,2023-12-31,f,0.89695,0.89695,94279,"[94.95,90.99,84.20,75.22,81.22]","[0.0000,0.0000,0.0000,0.0000,1205300.0000]","[0,0,0,0,1205300]",78.22,97894,1205300.0000,1205300.0000,
SD,2023-12-31,f,0.60356,-0.02111,0,"[17.03,14.41,15.25,15.66,13.67]","[4818832.0000,4818832.0000,4818832.0000,4818832.0000,4818832.0000]","[4818832,4818832,4818832,4818832,4818832]",20.58,65873,4818832.0000,0.0000,0.00
ILMN,2023-12-31,f,0.54859,0.05995,0,"[202.20,232.55,187.49,137.28,139.24]","[0.0000,430000.0000,430000.0000,430000.0000,430000.0000]","[0,430000,430000,430000,430000]",217.38,59873,430000.0000,0.0000,0.00
BLCO,2023-12-31,f,0.54709,0.05601,0,"[15.51,17.41,20.07,16.95,17.06]","[3500000.0000,3500000.0000,3500000.0000,3500000.0000,3500000.0000]","[3500000,3500000,3500000,3500000,3500000]",15.24,59710,3500000.0000,0.0000,0.00
IFF,2023-12-31,f,0.47815,0.11445,0,"[104.84,91.96,79.59,68.17,80.97]","[644510.0000,644510.0000,644510.0000,644510.0000,644510.0000]","[644510,644510,644510,644510,644510]",140.99,52186,644510.0000,0.0000,0.00
NWL,2023-12-31,f,0.47247,0.02840,0,"[13.08,12.44,8.70,9.03,8.68]","[33070432.0000,29985763.0000,29985763.0000,5940744.0000,5940744.0000]","[33070432,29985763,29985763,5940744,5940744]",26.19,51566,5940744.0000,0.0000,0.00
CCK,2023-12-31,f,0.00000,-0.76180,93911,"[82.21,82.71,86.87,88.48,92.09]","[1040100.0000,1040100.0000,1040100.0000,1040100.0000,0.0000]","[1040100,1040100,1040100,1040100,0]",86.60,0,0.0000,-1040100.0000,-100.00
